safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_668773d4a300d780_255,0.051724,0.05,0.065,0.885,-0.4588,0.021552,0.0,0.056034,third,3.2407,0.988,0.008621,2
inst_6025e74432b1f079_256,0.056911,0.214,0.046,0.74,0.9649,0.03252,0.0,0.01626,first,3.12,1.0,0.02439,3
inst_aaf44d798f516c45_257,0.089385,0.042,0.105,0.854,-0.8779,0.083799,0.0,0.089385,third,3.2114,0.9697,0.005587,1
inst_955025fab9744062_258,0.05042,0.125,0.0,0.875,0.9392,0.016807,0.016807,0.02521,third,3.3114,0.9362,0.02521,3
inst_c29aedd762955f1f_259,0.061404,0.017,0.039,0.943,-0.5012,0.030702,0.013158,0.02193,first,2.9369,0.9551,0.017544,4
inst_bbc4212732570d97_260,0.088372,0.149,0.046,0.806,0.9673,0.069767,0.004651,0.037209,first,3.0746,0.9863,0.013953,3
inst_254374d58e314c35_261,0.019685,0.072,0.022,0.906,0.8834,0.027559,0.027559,0.011811,first,2.7585,0.8462,0.0,0
inst_b6eed70d62b3c2a0_262,0.017167,0.052,0.054,0.894,0.1154,0.0,0.0,0.0,none,3.7163,0.9326,0.004292,1
inst_29ceb3551e2bf8ce_263,0.047009,0.011,0.02,0.97,-0.2144,0.0,0.0,0.0,none,3.1361,0.7778,0.008547,2
inst_aff99ec511b59ccb_264,0.0,0.0,0.087,0.913,-0.7096,0.0,0.0,0.0,none,3.6117,0.9474,0.034884,3
inst_2b21836be4644aec_265,0.061111,0.047,0.113,0.84,-0.8836,0.0,0.0,0.011111,third,3.8312,0.961,0.011111,2
inst_e28cc0122b1ad179_266,0.040541,0.104,0.077,0.818,0.6124,0.0,0.0,0.018018,third,3.3564,0.981,0.027027,6
